audio_filename,1-1_small-sounding-engine,1-2_medium-sounding-engine,1-3_large-sounding-engine,1-X_engine-of-uncertain-size,2-1_rock-drill,2-2_jackhammer,2-3_hoe-ram,2-4_pile-driver,2-X_other-unknown-impact-machinery,3-1_non-machinery-impact,4-1_chainsaw,4-2_small-medium-rotating-saw,4-3_large-rotating-saw,4-X_other-unknown-powered-saw,5-1_car-horn,5-2_car-alarm,5-3_siren,5-4_reverse-beeper,5-X_other-unknown-alert-signal,6-1_stationary-music,6-2_mobile-music,6-3_ice-cream-truck,6-X_music-from-uncertain-source,7-1_person-or-small-group-talking,7-2_person-or-small-group-shouting,7-3_large-crowd,7-4_amplified-speech,7-X_other-unknown-human-voice,8-1_dog-barking-whining,1_engine,2_machinery-impact,3_non-machinery-impact,4_powered-saw,5_alert-signal,6_music,7_human-voice,8_dog
00_000066.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739506840705872,0.15911224484443665,0.20233561098575592,0.018976958468556404,0.19716763496398926,0.027579013258218765,0.09604579210281372,0.003936990164220333
00_000118.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391198635101318,0.06002373248338699,0.03551207855343819,0.037928782403469086,0.15221048891544342,0.024670789018273354,0.579968273639679,0.0057185376062989235
00_000275.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8397353887557983,0.19623243808746338,0.1605706661939621,0.07404071092605591,0.16919317841529846,0.008596552535891533,0.14766570925712585,0.07142189145088196
00_000277.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23892012238502502,0.01427873969078064,0.009559507481753826,0.0035081421956419945,0.9614889621734619,0.005295847542583942,0.17769786715507507,0.0032121213153004646
00_000357.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491631388664246,0.058328669518232346,0.084479920566082,0.007393305189907551,0.10837690532207489,0.014742013067007065,0.3599337637424469,0.003969583194702864
00_000436.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8402569890022278,0.2833026647567749,0.16110005974769592,0.20798741281032562,0.14040100574493408,0.018354132771492004,0.023804668337106705,0.003990835510194302
00_000440.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7413727641105652,0.1606673002243042,0.09512682259082794,0.09344159811735153,0.5304287075996399,0.020213067531585693,0.34891173243522644,0.03639515861868858
00_000612.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609288215637207,0.16054978966712952,0.21843254566192627,0.028838099911808968,0.4574398994445801,0.15587328374385834,0.4617379605770111,0.016078634187579155
00_000688.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921378493309021,0.3264787197113037,0.09815146028995514,0.09905512630939484,0.19617518782615662,0.02857104130089283,0.04535961523652077,0.012739957310259342
00_000765.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21595236659049988,0.14074723422527313,0.3622041344642639,0.018649205565452576,0.15398094058036804,0.04769277945160866,0.7022532820701599,0.02386571280658245
00_000823.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9585713148117065,0.1533356010913849,0.08738750219345093,0.10531745105981827,0.09472693502902985,0.004943284206092358,0.02192368544638157,0.001031974796205759
