epoch,loss,val_loss
0,0.34507667769584793,0.24849935474227353
1,0.3065429653607508,0.23826066800652826
2,0.2953372896378036,0.22710932093260455
3,0.2876512966439192,0.23046545030680732
4,0.28072056279504365,0.23213659431854589
5,0.2751034687819835,0.23741008834324806
6,0.2689087659336295,0.2360529339003297
7,0.2632823574972709,0.2303553898316777
8,0.2584616398728568,0.23373678199199052
9,0.25316783801229686,0.23967143034624788
10,0.24822610530830025,0.24338301484469588
11,0.24302305217542294,0.2380756710320157
12,0.2374334694857012,0.24181724575150854
13,0.23292674531056445,0.24815124982351708
14,0.2272509929215931,0.23913000119663083
15,0.22264481321459315,0.24365483235470867
16,0.21801213487764812,0.2519851611117005
17,0.21169969854687357,0.24996407701180326
18,0.20674078288441447,0.24914034253824155
19,0.20206592534348855,0.25910394757875277
20,0.19704096515239614,0.25879882231742474
21,0.192187720190688,0.2682288863512663
22,0.18828815260750978,0.26415455003431737
